loss,delay,fast_recovery,md5_hash,ttc
0.0,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.5363283157348633
0.5,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.5432941913604736
1.0,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.51633620262146
1.5,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,7.287912368774414
2.0,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,1.6007540225982666
2.5,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.5143911838531494
3.0,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,9.998190879821777
3.5,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.5489211082458496
4.0,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.5265202522277832
4.5,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.516690731048584
0.0,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.5506770610809326
0.5,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.5237646102905273
1.0,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.5197300910949707
1.5,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.5198132991790771
2.0,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.517167329788208
2.5,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,1.5881807804107666
3.0,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,8.966984510421753
3.5,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,22.966925382614136
4.0,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,151.01525950431824
4.5,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.8167173862457275
0.0,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.5276143550872803
0.5,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.5314218997955322
1.0,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.5351183414459229
1.5,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.5308585166931152
2.0,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.5269641876220703
2.5,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,2.878207206726074
3.0,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.8071160316467285
3.5,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.7862398624420166
4.0,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,10.981056690216064
4.5,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,73.97626876831055
0.0,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.5278737545013428
0.5,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.5271973609924316
1.0,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.7375955581665039
1.5,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.5034310817718506
2.0,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,4.46532678604126
2.5,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,1.4382882118225098
3.0,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,12.69861650466919
3.5,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,10.388522624969482
4.0,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.5199966430664062
4.5,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.5307166576385498
0.0,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.5339326858520508
0.5,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.5329995155334473
1.0,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,4.516512870788574
1.5,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,5.924579620361328
2.0,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.5314245223999023
2.5,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.5160877704620361
3.0,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,1.4805669784545898
3.5,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.5134899616241455
4.0,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,1.0555636882781982
4.5,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.5413780212402344
0.0,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.5143871307373047
0.5,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.5260252952575684
1.0,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.5176100730895996
1.5,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.5015368461608887
2.0,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.5288138389587402
2.5,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.49866247177124023
3.0,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,258.29363203048706
3.5,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,5.924933910369873
4.0,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,1.6234309673309326
4.5,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,1.3440272808074951
0.0,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.5138063430786133
0.5,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.5226345062255859
1.0,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.5342121124267578
1.5,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.5117788314819336
2.0,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.4954531192779541
2.5,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.528207540512085
3.0,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.7920358180999756
3.5,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.5097742080688477
4.0,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,1.7323906421661377
4.5,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,3.3439431190490723
0.0,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.5114986896514893
0.5,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.4996500015258789
1.0,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.5023515224456787
1.5,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.5175716876983643
2.0,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.5264194011688232
2.5,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.5257358551025391
3.0,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.5156726837158203
3.5,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,71.38061308860779
4.0,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,4.541477203369141
4.5,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.8183579444885254
0.0,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.5320172309875488
0.5,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.5245299339294434
1.0,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.5202217102050781
1.5,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,4.5284364223480225
2.0,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,12.080719947814941
2.5,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,5.555013656616211
3.0,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.5240862369537354
3.5,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,1.5193636417388916
4.0,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,10.91878056526184
4.5,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,220.88062381744385
0.0,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.54595947265625
0.5,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.5298001766204834
1.0,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.5180923938751221
1.5,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.4995896816253662
2.0,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.5538101196289062
2.5,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.5237922668457031
3.0,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.5275263786315918
3.5,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,20.819655895233154
4.0,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,209.21440291404724
4.5,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,1.8729281425476074
