loss,delay,fast_recovery,md5_hash,ttc
0.0,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.29374241828918457
0.5,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.2950301170349121
1.0,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.31122565269470215
1.5,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.32098817825317383
2.0,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.308147668838501
2.5,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.3149895668029785
3.0,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.3076915740966797
3.5,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.29657793045043945
4.0,20,1,59cf3625b972d55cfc07339211e1654a,2.3036673069000244
4.5,20,1,59cf3625b972d55cfc07339211e1654a,0.33339524269104004
0.0,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.33557581901550293
0.5,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.29021477699279785
1.0,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.3171043395996094
1.5,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.2937808036804199
2.0,20,0,02cf93a58054a10ce3730bc7ce3066c8,0.29701662063598633
2.5,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.3022890090942383
3.0,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.304262638092041
3.5,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.3133695125579834
4.0,20,0,72d184782aba181f34086e49c169f9b5,1.5299575328826904
4.5,20,0,59cf3625b972d55cfc07339211e1654a,0.30245280265808105
0.0,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.31963586807250977
0.5,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.3079795837402344
1.0,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.32071447372436523
1.5,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.32654523849487305
2.0,20,1,92fc4e3b2ae88efbdefecfc585ef0c0d,0.31686902046203613
2.5,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.36258721351623535
3.0,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.31902623176574707
3.5,20,1,26046db15c074c3ae2550c1925e1f58d,0.3061072826385498
4.0,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.29556775093078613
4.5,20,1,72d184782aba181f34086e49c169f9b5,0.30971813201904297
0.0,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.3125429153442383
0.5,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.29015588760375977
1.0,20,0,59cf3625b972d55cfc07339211e1654a,0.32500171661376953
1.5,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.30527544021606445
2.0,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.30892276763916016
2.5,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.3477635383605957
3.0,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.30283546447753906
3.5,20,0,59cf3625b972d55cfc07339211e1654a,0.3375575542449951
4.0,20,0,72d184782aba181f34086e49c169f9b5,0.3350050449371338
4.5,20,0,26046db15c074c3ae2550c1925e1f58d,2.4326820373535156
0.0,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.3136880397796631
0.5,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.3168976306915283
1.0,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.31261157989501953
1.5,20,1,8fa59189bd34a9de0ce5ff0148efeb40,0.35051441192626953
2.0,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,1.3265151977539062
2.5,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.3045670986175537
3.0,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.28549861907958984
3.5,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.31522345542907715
4.0,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.30837178230285645
4.5,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.31158924102783203
0.0,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.2946178913116455
0.5,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.30153870582580566
1.0,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.3090078830718994
1.5,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.30492162704467773
2.0,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.30922460556030273
2.5,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.29324769973754883
3.0,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.30645227432250977
3.5,20,0,02cf93a58054a10ce3730bc7ce3066c8,2.257014513015747
4.0,20,0,7980a4fab8399744cc5bfde8c4e6fbe3,0.30768799781799316
4.5,20,0,72d184782aba181f34086e49c169f9b5,0.32802653312683105
0.0,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.30693626403808594
0.5,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.3035457134246826
1.0,20,1,7980a4fab8399744cc5bfde8c4e6fbe3,0.3164832592010498
1.5,20,1,92fc4e3b2ae88efbdefecfc585ef0c0d,0.2991800308227539
2.0,20,1,59cf3625b972d55cfc07339211e1654a,0.5634622573852539
2.5,20,1,26046db15c074c3ae2550c1925e1f58d,2.292513608932495
3.0,20,1,92fc4e3b2ae88efbdefecfc585ef0c0d,0.31145262718200684
